3171,Kota Jakarta Pusat,-6.186486,106.834091
3172,Kota Jakarta Utara,-6.121435,106.774124
3173,Kota Jakarta Barat,-6.135200,106.813301
3174,Kota Jakarta Selatan,-6.300641,106.814095
3175,Kota Jakarta Timur,-6.264451,106.895859
3573,Kota Malang,-7.981894,112.626503
3578,Kota Surabaya,-7.289166,112.734398
3471,Kota Yogyakarta,-7.797224,110.368797
3273,Kota Bandung,-6.914744,107.609811
1371,Kota Padang,-0.950000,100.353056
1375,Kota Bukittinggi,-0.305556,100.369167
6471,Kota Balikpapan,-1.263539,116.827883
6472,Kota Samarinda,-0.502183,117.153801
7371,Kota Makassar,-5.133333,119.416667
5171,Kota Denpasar,-8.656290,115.222099
